Tadorna ferruginea
Tadorna tadornoides
Tadorna cana
Tadorna variegata
Oxyura jamaicensis
Oxyura leucocephala
Stictonetta naevosa
Branta bernicla
Branta canadensis
Branta leucopsis
Branta ruficollis
Branta sandvicensis
Aix galericulata
Aix sponsa
Lophodytes cucullatus
Histrionicus histrionicus
Chloephaga poliocephala
Chloephaga picta
Cairina moschata
Netta rufina
Netta peposaca
Nettapus
Tachyeres
Plectropterus gambensis
Cereopsis novaehollandiae
Sarkidiornis melanotos
Coscoroba coscoroba
Merganetta armata
Clangula hyemalis
Nomonyx dominicus
Malacorhynchus membranaceus
Chenonetta jubata
Biziura lobata
Amazonetta brasiliensis
Callonetta leucophrys
Mergellus albellus
Tauraco corythaix
Tauraco porphyreolophus
Corythaixoides concolor
Crinifer
Acanthisitta chloris
Psaltriparus minimus
Aegithalos caudatus
Eremophila alpestris
Mirafra africana
Alauda arvensis
Alauda gulgula
Galerida theklae
Lullula arborea
Melanocorypha
Eremopterix
Ammomanes deserti
Bombycilla cedrorum
Bombycilla garrulus
Dulus dominicus
Certhia familiaris
Certhia americana
Certhia brachydactyla
Catherpes mexicanus
Campylorhynchus brunneicapillus
Campylorhynchus rufinucha
Campylorhynchus gularis
Campylorhynchus zonatus
Campylorhynchus griseus
Salpinctes obsoletus
Polioptila nigriceps
Polioptila caerulea
Polioptila californica
Polioptila melanura
Polioptila albiloris
Polioptila plumbea
Polioptila dumicola
Thryothorus ludovicianus
Troglodytes aedon
Thryomanes bewickii
Cistothorus platensis
Cistothorus palustris
Auriparus flaviceps
Cinclus pallasii
Cinclus mexicanus
Cinclus leucocephalus
Cinclus cinclus
Cisticola exilis
Cisticola tinniens
Cisticola juncidis
Prinia gracilis
Prinia inornata
Prinia socialis
Prinia flaviventris
Prinia subflava
Prinia maculosa
Camaroptera brachyura
Cormobates leucophaea
Climacteris
Aphelocoma coerulescens
Aphelocoma insularis
Pericrocotus solaris
Pericrocotus cinnamomeus
Oriolus chinensis
Oriolus xanthornus
Oriolus larvatus
Oriolus sagittatus
Struthidea cinerea
Pachycephala rufiventris
Aegithina tiphia
Coracina novaehollandiae
Corvus monedula
Corvus ossifragus
Corvus cryptoleucus
Corvus albicollis
Corvus torquatus
Corvus capensis
Corvus corax
Corvus caurinus
Corvus brachyrhynchos
Corvus macrorhynchos
Corvus orru
Corvus frugilegus
Corvus splendens
Corvus albus
Corvus coronoides
Corvus mellori
Corvus sinaloae
Myiagra rubecula
Artamus leucorynchus
Artamus cyanopterus
Garrulus glandarius
Rhipidura javanica
Rhipidura leucophrys
Cyanolyca
Telophorus zeylonus
Laniarius atrococcineus
Laniarius ferrugineus
Cyanocitta cristata
Cyanocitta stelleri
Dicrurus leucophaeus
Dicrurus aeneus
Dicrurus hottentottus
Dicrurus bracteatus
Dicrurus macrocercus
Dryoscopus cubla
Dendrocitta vagabunda
Dendrocitta formosae
Pica nuttalli
Mohoua albicilla
Perisoreus canadensis
Pyrrhocorax pyrrhocorax
Pyrrhocorax graculus
Terpsiphone mutata
Terpsiphone viridis
Lalage
Batis capensis
Batis molitor
Urocissa caerulea
Strepera graculina
Strepera versicolor
Tchagra australis
Platysteira
Cyanocorax violaceus
Cyanocorax yucatanicus
Cyanocorax sanblasianus
Cyanocorax yncas
Cyanocorax affinis
Cyanocorax beecheii
Cyanocorax chrysops
Cracticus nigrogularis
Colluricincla harmonica
Nucifraga columbiana
Psilorhinus morio
Gymnorhina tibicen
Grallina cyanoleuca
Gymnorhinus cyanocephalus
Calocitta formosa
Calocitta colliei
Corcorax melanorhamphos
Pachyramphus aglaiae
Pachyramphus polychopterus
Pipreola
Tityra inquisitor
Tityra semifasciata
Procnias
Rupicola peruvianus
Phytotoma rutila
Phytotoma rara
Cotinga
Eurylaimidae
Formicariidae
Cardinalis sinuatus
Cardinalis cardinalis
Melospiza lincolnii
Melospiza georgiana
Melospiza melodia
Spizella passerina
Spizella atrogularis
Spizella breweri
Spizella pallida
Spizella pusilla
Passerella iliaca
Zonotrichia leucophrys
Zonotrichia querula
Zonotrichia capensis
Zonotrichia albicollis
Zonotrichia atricapilla
Emberiza rustica
Emberiza cirlus
Emberiza cia
Emberiza citrinella
Emberiza hortulana
Emberiza pusilla
Emberiza schoeniclus
Emberiza flaviventris
Emberiza melanocephala
Emberiza spodocephala
Emberiza elegans
Emberiza leucocephalos
Emberiza cioides
Serinus serinus
Serinus pusillus
Serinus canaria
Serinus canicollis
Euphonia elegantissima
Euphonia hirundinacea
Euphonia gouldi
Euphonia violacea
Euphonia affinis
Euphonia chlorotica
Euphonia xanthogaster
Euphonia laniirostris
Peucedramus taeniatus
Icterus wagleri
Icterus parisorum
Icterus cucullatus
Icterus spurius
Icterus graduacauda
Icterus auratus
Icterus pectoralis
Icterus pustulatus
Icterus gularis
Icterus abeillei
Icterus icterus
Icterus galbula
Icterus mesomelas
Icterus chrysater
Icterus nigrogularis
Icterus bullockii
Carduelis carduelis
Pipilo chlorurus
Pipilo maculatus
Pipilo erythrophthalmus
Myioborus torquatus
Myioborus miniatus
Myioborus pictus
Pyrrhula pyrrhula
Camarhynchus
Geospiza fuliginosa
Geospiza fortis
Sporophila torqueola
Sporophila minuta
Sporophila nigricollis
Sporophila caerulescens
Cyanocompsa parellina
Melozone kieneri
Sturnella magna
Sturnella neglecta
Tangara icterocephala
Tangara gyrola
Tangara seledon
Tangara cayana
Tangara arthus
Tangara larvata
Tangara heinei
Tangara vitriolina
Tangara cyanicollis
Quiscalus lugubris
Quiscalus major
Quiscalus quiscula
Quiscalus mexicanus
Quiscalus niger
Leucosticte tephrocotis
Granatellus
Carpodacus erythrinus
Geothlypis poliocephala
Geothlypis trichas
Geothlypis aequinoctialis
Agelaius tricolor
Agelaius phoeniceus
Pinicola enucleator
Poospiza nigrorufa
Coccothraustes vespertinus
Coccothraustes coccothraustes
Vermivora chrysoptera
Diglossa baritula
Diglossa humeralis
Saltator aurantiirostris
Saltator striatipectus
Saltator coerulescens
Saltator atriceps
Saltator maximus
Sicalis flaveola
Sicalis luteola
Sicalis olivascens
Piranga rubra
Piranga ludoviciana
Piranga leucoptera
Piranga olivacea
Piranga bidentata
Piranga flava
Habia fuscicauda
Amphispiza bilineata
Aimophila ruficeps
Aimophila rufescens
Passerculus sandwichensis
Dives dives
Conirostrum
Loxigilla noctis
Rhodothraupis celaeno
Basileuterus culicivorus
Basileuterus belli
Basileuterus rufifrons
Ramphocelus sanguinolentus
Ramphocelus carbo
Ramphocelus dimidiatus
Ramphocelus flammigerus
Arremon aurantiirostris
Fringilla montifringilla
Fringilla coelebs
Tachyphonus luctuosus
Tachyphonus rufus
Phrygilus fruticeti
Phrygilus punensis
Phrygilus gayi
Phrygilus patagonicus
Junco hyemalis
Cardellina rubrifrons
Psarocolius wagleri
Psarocolius decumanus
Psarocolius angustifrons
Ammodramus humeralis
Ammodramus savannarum
Ammodramus aurifrons
Pooecetes gramineus
Arremonops rufivirgatus
Arremonops conirostris
Anisognathus somptuosus
Anisognathus igniventris
Coereba flaveola
Passerina ciris
Passerina cyanea
Passerina versicolor
Passerina leclancherii
Passerina amoena
Icteria virens
Setophaga ruticilla
Paroaria coronata
Paroaria gularis
Paroaria capitata
Cyanerpes caeruleus
Cyanerpes cyaneus
Pheucticus chrysogaster
Pheucticus ludovicianus
Pheucticus melanocephalus
Pheucticus chrysopeplus
Mniotilta varia
Volatinia jacarina
Thraupis sayaca
Thraupis abbas
Thraupis episcopus
Thraupis palmarum
Hemithraupis
Curaeus curaeus
Coryphospingus cucullatus
Tiaris bicolor
Euphagus carolinus
Euphagus cyanocephalus
Atlapetes pileatus
Atlapetes albinucha
Cacicus cela
Molothrus aeneus
Molothrus bonariensis
Molothrus ater
Loxia curvirostra
Loxia leucoptera
Amblycercus holosericeus
Oporornis agilis
Limnothlypis swainsonii
Chlorophonia
Xanthocephalus xanthocephalus
Chondestes grammacus
Chlorophanes spiza
Dolichonyx oryzivorus
Diuca diuca
Gymnomystax mexicanus
Dacnis cayana
Eophona
Catamenia analis
Calamospiza melanocorys
Tersina viridis
Hypopyrrhus pyrohypogaster
Embernagra platensis
Spiza americana
Himatione sanguinea
Cyanoloxia
Amblyramphus holosericeus
Eucometis penicillata
Oriturus superciliosus
Pseudoleistes virescens
Gnorimopsar chopi
Protonotaria citrea
Spindalis zena
Geositta
Xiphocolaptes
Dendrocincla fuliginosa
Synallaxis
Xiphorhynchus flavigaster
Xiphorhynchus susurrans
Dendrocolaptes sanctithomae
Cranioleuca
Furnarius rufus
Furnarius leucopus
Asthenes
Certhiaxis cinnamomeus
Cinclodes patagonicus
Cinclodes fuscus
Glyphorynchus spirurus
Xenops
Sittasomus griseicapillus
Lepidocolaptes souleyetii
Lepidocolaptes lacrymiger
Lepidocolaptes angustirostris
Phacellodomus
Leptasthenura
Pseudoseisura
Petrochelidon fulva
Petrochelidon pyrrhonota
Progne subis
Progne tapera
Progne chalybea
Hirundo neoxena
Hirundo smithii
Hirundo rustica
Hirundo albigularis
Hirundo tahitica
Tachycineta albilinea
Tachycineta thalassina
Tachycineta bicolor
Tachycineta leucorrhoa
Tachycineta albiventer
Riparia riparia
Stelgidopteryx serripennis
Stelgidopteryx ruficollis
Chloropsis
Irena puella
Lanius cristatus
Lanius ludovicianus
Lanius schach
Lanius collurio
Lanius senator
Lanius isabellinus
Lanius excubitoroides
Lanius bucephalus
Lanius minor
Eurocephalus anguitimens
Malurus cyaneus
Malurus splendens
Malurus lamberti
Malurus melanocephalus
Manorina flavigula
Manorina melanophrys
Manorina melanocephala
Acanthorhynchus tenuirostris
Melithreptus albogularis
Meliphaga lewinii
Philemon corniculatus
Philemon buceroides
Myzomela sanguinolenta
Lichmera indistincta
Prosthemadera novaeseelandiae
Anthornis melanura
Anthochaera carunculata
Anthochaera chrysoptera
Phylidonyris novaehollandiae
Phylidonyris niger
Phylidonyris pyrrhopterus
Epthianura albifrons
Entomyzon cyanotis
Menura novaehollandiae
Turdus pilaris
Turdus amaurochalinus
Turdus assimilis
Turdus rufopalliatus
Turdus merula
Turdus plumbeus
Turdus grayi
Turdus ignobilis
Turdus migratorius
Turdus viscivorus
Turdus leucomelas
Turdus rufiventris
Turdus torquatus
Turdus philomelos
Turdus iliacus
Turdus falcklandii
Turdus nudigenis
Turdus chiguanco
Turdus fuscater
Cossypha natalensis
Cossypha caffra
Cossypha heuglini
Bradornis
Niltava
Oenanthe oenanthe
Oenanthe hispanica
Oenanthe monticola
Oenanthe pleschanka
Oenanthe leucopyga
Oenanthe isabellina
Oenanthe leucura
Oenanthe pileata
Oenanthe deserti
Cyornis tickelliae
Myrmecocichla formicivora
Catharus occidentalis
Catharus ustulatus
Catharus minimus
Catharus guttatus
Catharus aurantiirostris
Catharus fuscescens
Saxicola rubetra
Saxicola caprata
Sialia currucoides
Sialia mexicana
Sialia sialis
Myadestes occidentalis
Myadestes townsendi
Muscicapa striata
Muscicapa adusta
Muscicapa sibirica
Phoenicurus phoenicurus
Phoenicurus auroreus
Phoenicurus moussieri
Phoenicurus ochruros
Zoothera lunulata
Luscinia svecica
Luscinia luscinia
Luscinia megarhynchos
Cichladusa
Enicurus
Erithacus rubecula
Ficedula parva
Monticola saxatilis
Monticola solitarius
Monticola rupestris
Psophocichla litsitsirupa
Melaenornis pammelaina
Fraseria
Cercomela familiaris
Hylocichla mustelina
Nectarinia famosa
Nectarinia kilimensis
Anthreptes malacensis
Dicaeum cruentatum
Dicaeum hirundinaceum
Dicaeum trigonostigma
Aethopyga christinae
Promerops cafer
Acanthiza lineata
Acanthiza pusilla
Acanthiza chrysorrhoa
Gerygone igata
Sericornis frontalis
Pardalotus punctatus
Pardalotus striatus
Parus monticolus
Baeolophus wollweberi
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Remiz pendulinus
Motacilla citreola
Motacilla cinerea
Motacilla alba
Motacilla capensis
Motacilla aguimp
Anthus rufulus
Anthus spragueii
Anthus trivialis
Anthus campestris
Anthus spinoletta
Anthus cervinus
Anthus hodgsoni
Anthus pratensis
Anthus rubescens
Anthus petrosus
Anthus berthelotii
Estrilda astrild
Ploceus philippinus
Ploceus cucullatus
Ploceus capensis
Ploceus velatus
Ploceus baglafecht
Ploceus ocularis
Ploceus intermedius
Passer montanus
Passer melanurus
Passer hispaniolensis
Passer domesticus
Passer griseus
Foudia madagascariensis
Lonchura striata
